"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2023","322.93","326.02","328.26","321.18","20.11M","0.22%"
"08/09/2023","322.23","326.47","327.11","321.05","22.37M","-1.17%"
"08/08/2023","326.05","326.96","328.75","323.00","22.33M","-1.23%"
"08/07/2023","330.11","328.37","331.11","327.52","17.74M","0.71%"
"08/04/2023","327.78","331.88","335.14","327.24","23.74M","0.34%"
"08/03/2023","326.66","326.00","329.88","325.95","18.36M","-0.26%"
"08/02/2023","327.50","333.63","333.63","326.36","27.76M","-2.63%"
"08/01/2023","336.34","335.19","338.54","333.70","18.38M","0.13%"
"07/31/2023","335.92","336.92","337.70","333.36","25.45M","-0.72%"
"07/28/2023","338.37","333.67","340.01","333.17","28.48M","2.31%"
"07/27/2023","330.72","340.48","341.33","329.05","39.64M","-2.09%"
"07/26/2023","337.77","341.44","344.67","333.11","58.38M","-3.76%"
"07/25/2023","350.98","347.11","351.89","345.07","41.64M","1.70%"
"07/24/2023","345.11","345.85","346.92","342.31","26.72M","0.39%"
"07/21/2023","343.77","349.15","350.30","339.83","69.41M","-0.89%"
"07/20/2023","346.87","353.57","357.97","345.37","33.78M","-2.31%"
"07/19/2023","355.08","361.75","362.46","352.43","39.73M","-1.23%"
"07/18/2023","359.49","345.83","366.78","342.17","64.87M","3.98%"
"07/17/2023","345.73","345.68","346.99","342.20","20.36M","0.14%"
"07/14/2023","345.24","347.59","351.43","344.31","28.35M","0.75%"
"07/13/2023","342.66","339.56","343.74","339.02","20.57M","1.62%"
"07/12/2023","337.20","336.60","341.65","335.67","30.00M","1.42%"
"07/11/2023","332.47","331.06","332.86","327.00","26.70M","0.19%"
"07/10/2023","331.83","334.60","335.23","327.59","32.79M","-1.60%"
"07/07/2023","337.22","339.32","341.79","337.00","21.21M","-1.19%"
"07/06/2023","341.27","337.30","342.99","335.50","28.20M","0.92%"
"07/05/2023","338.15","335.09","341.65","334.73","18.17M","0.05%"
"07/03/2023","337.99","339.19","340.90","336.57","12.51M","-0.75%"
"06/30/2023","340.54","337.75","342.73","337.20","26.83M","1.64%"
"06/29/2023","335.05","334.71","336.11","332.62","17.00M","-0.24%"
"06/28/2023","335.85","334.66","337.98","333.81","20.26M","0.38%"
"06/27/2023","334.57","331.86","336.15","329.30","24.35M","1.82%"
"06/26/2023","328.60","333.72","336.11","328.49","21.52M","-1.92%"
"06/23/2023","335.02","334.36","337.96","333.45","23.15M","-1.38%"
"06/22/2023","339.71","334.12","340.12","333.34","23.56M","1.84%"
"06/21/2023","333.56","336.37","337.73","332.07","25.12M","-1.33%"
"06/20/2023","338.05","339.31","342.08","335.86","26.38M","-1.25%"
"06/16/2023","342.33","351.32","351.47","341.95","46.55M","-1.66%"
"06/15/2023","348.10","337.48","349.84","337.20","38.90M","3.19%"
"06/14/2023","337.34","334.34","339.04","332.81","26.00M","0.91%"
"06/13/2023","334.29","334.46","336.98","330.39","22.95M","0.74%"
"06/12/2023","331.85","328.58","332.10","325.16","24.31M","1.55%"
"06/09/2023","326.79","324.99","329.99","324.41","22.53M","0.47%"
"06/08/2023","325.26","323.93","326.64","323.35","23.28M","0.58%"
"06/07/2023","323.38","331.65","334.49","322.50","40.72M","-3.09%"
"06/06/2023","333.68","335.33","335.37","332.17","20.40M","-0.67%"
"06/05/2023","335.94","335.22","338.56","334.66","21.31M","0.16%"
"06/02/2023","335.40","334.25","337.50","332.55","25.87M","0.85%"
"06/01/2023","332.58","325.93","333.53","324.72","26.77M","1.28%"
"05/31/2023","328.39","332.29","335.94","327.33","45.95M","-0.85%"
"05/30/2023","331.21","335.23","335.74","330.52","29.50M","-0.50%"
"05/26/2023","332.89","324.02","333.40","323.88","36.63M","2.14%"
"05/25/2023","325.92","323.24","326.90","320.00","43.30M","3.85%"
"05/24/2023","313.85","314.73","316.50","312.61","23.38M","-0.45%"
"05/23/2023","315.26","320.03","322.72","315.25","30.80M","-1.84%"
"05/22/2023","321.18","318.60","322.59","318.01","24.12M","0.89%"
"05/19/2023","318.34","316.74","318.75","316.37","27.55M","-0.06%"
