"Date","Price","Open","High","Low","Vol.","Change %"
"05/24/2023","107.59","107.38","108.51","106.73","16.34M","1.12%"
"05/23/2023","106.40","105.99","108.22","105.75","14.39M","1.36%"
"05/22/2023","104.97","105.84","107.04","104.88","12.88M","-1.21%"
"05/19/2023","106.26","106.57","107.05","105.82","13.36M","0.46%"
"05/18/2023","105.77","104.55","105.91","104.13","12.01M","0.91%"
"05/17/2023","104.82","103.39","105.23","102.85","14.06M","2.24%"
"05/16/2023","102.52","104.63","104.81","102.02","14.80M","-2.43%"
"05/15/2023","105.07","105.51","105.93","104.58","13.72M","-0.67%"
"05/12/2023","105.78","106.31","107.01","104.78","12.61M","-0.01%"
"05/11/2023","105.79","106.49","106.82","104.93","17.17M","-1.81%"
"05/10/2023","107.74","109.74","110.01","106.71","14.88M","-1.28%"
"05/09/2023","109.14","108.34","110.23","108.21","11.37M","0.03%"
"05/08/2023","109.11","110.50","110.97","109.04","11.19M","0.40%"
"05/05/2023","108.68","108.55","109.43","107.53","14.97M","2.49%"
"05/04/2023","106.04","107.90","108.75","105.91","17.18M","-1.75%"
"05/03/2023","107.93","109.08","109.81","107.75","16.21M","-1.97%"
"05/02/2023","110.10","113.94","113.94","109.29","24.32M","-3.99%"
"05/01/2023","114.67","115.99","117.30","114.45","17.35M","-3.10%"
"04/28/2023","118.34","117.25","119.92","116.83","24.38M","1.29%"
"04/27/2023","116.83","115.62","117.01","114.88","16.28M","1.20%"
"04/26/2023","115.45","116.03","117.09","114.68","15.57M","-0.92%"
"04/25/2023","116.52","117.55","117.74","115.63","12.18M","-1.42%"
"04/24/2023","118.20","115.92","118.89","115.88","15.83M","1.89%"
"04/21/2023","116.01","116.49","116.88","115.26","14.32M","0.32%"
"04/20/2023","115.64","115.13","115.68","113.23","17.04M","-0.80%"
"04/19/2023","116.57","116.08","116.90","115.77","10.68M","-0.32%"
"04/18/2023","116.94","114.39","117.21","114.30","17.44M","1.95%"
"04/17/2023","114.70","115.49","116.51","114.42","13.26M","-1.16%"
"04/14/2023","116.05","115.90","116.66","115.12","11.53M","0.24%"
"04/13/2023","115.77","114.60","115.89","114.13","12.40M","0.47%"
"04/12/2023","115.23","116.16","116.59","114.93","10.92M","-0.10%"
"04/11/2023","115.35","114.96","116.20","114.38","11.76M","0.71%"
"04/10/2023","114.54","114.78","116.18","114.17","13.01M","-0.44%"
"04/06/2023","115.05","116.86","117.18","114.77","15.78M","-1.66%"
"04/05/2023","116.99","115.35","117.00","114.31","16.48M","1.71%"
"04/04/2023","115.02","116.26","116.70","114.17","16.37M","-0.96%"
"04/03/2023","116.13","113.39","116.85","113.12","28.09M","5.90%"
